#iin;location;type;issuername;phone
438568;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438569;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438570;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438571;UNITED STATES OF AMERICA;Visa DEBIT;BANK OF SANTA CLARA;513-579-5638
438572;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438573;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438574;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK, N.A.;
438575;UNITED STATES OF AMERICA;Visa DEBIT;WACHOVIA BANK N.A.;
438576;UNITED STATES OF AMERICA;Visa DEBIT;WACHOVIA BANK N.A.;
438577;UNITED STATES OF AMERICA;Visa DEBIT;WACHOVIA BANK N.A.;
438578;UNITED STATES OF AMERICA;Visa DEBIT;WACHOVIA BANK N.A.;
438579;UNITED STATES OF AMERICA;Visa;UNION BANK OF CALIFORNIA, N.A.;954-851-0700
438581;TAIWAN;Visa CREDIT;UNITED WORLD CHINESE COMMERCIAL BANK;
438582;TAIWAN;Visa CREDIT;UNITED WORLD CHINESE COMMERCIAL BANK;
438583;UNITED STATES OF AMERICA;Visa CREDIT;FLORIDA TELCO C.U.;800-215-6280
438587;INDIA;Visa CREDIT;CITIBANK, N.A.;
438591;CHINA, PEOPLES REP. OF;Visa;GUANGDONG BANK CARD NETWORK SERVICE CENTRE;
438595;MALAYSIA;Visa CREDIT;CITIBANK BERHAD;60-3-3834120
438598;MALAYSIA;Visa CREDIT;CITIBANK BERHAD;60-3-3834120
438599;UNITED STATES OF AMERICA;Visa;DEBIT PROCESSING SERVICE - VISA;
438614;CHINA, PEOPLES REP. OF;Visa;BANK OF SHANGHAI;
438617;HONG KONG, CHINA;Visa CREDIT;AIG FINANCE (HONG KONG) LIMITED;852-2161-3688
438618;HONG KONG, CHINA;Visa CREDIT;AIG FINANCE (HONG KONG) LIMITED;852-2161-3688
438621;UNITED STATES OF AMERICA;Visa CREDIT;THE BANKERS BANK;770-840-3900
438622;UNITED STATES OF AMERICA;Visa;WILDCARD SYSTEMS, INC;
438624;INDIA;Visa CREDIT;HDFC BANK LIMITED;91-22-8569034
438628;INDIA;Visa CREDIT;CITIBANK, N.A.;
438629;MALAYSIA;Visa CREDIT;UNITED OVERSEAS BANK (MALAYSIA) BHD;
438630;EL SALVADOR;Visa DEBIT;BANCO AGRICOLA S.A.;503-2989892
438631;UNITED STATES OF AMERICA;Visa DEBIT;FIRST INTERCONTINENTAL BANK;321-263-3000
438632;UNITED STATES OF AMERICA;Visa DEBIT;UNION BANK OF FLORIDA;321-263-3000
438633;UNITED STATES OF AMERICA;Visa DEBIT;WESTERN COMMERCE BANK;321-263-3000
438634;UNITED STATES OF AMERICA;Visa DEBIT;SECURITYPLUS FEDERAL CREDIT UNION;321-263-3000
438635;UNITED STATES OF AMERICA;Visa DEBIT;FIRST ILLINOIS BANK;800-215-6280
438636;UNITED STATES OF AMERICA;Visa DEBIT;SURETY BANK;321-263-3000
438637;UNITED STATES OF AMERICA;Visa DEBIT;BRANCH BANKING AND TRUST COMPANY;
438638;UNITED STATES OF AMERICA;Visa DEBIT;COMMUNITY NATIONAL BANK OF MID-FLORIDA;321-263-3000
438639;UNITED STATES OF AMERICA;Visa DEBIT;FIRST HOME BANK;321-263-3000
438640;UNITED STATES OF AMERICA;Visa DEBIT;GULFSTREAM BUSINESS BANK;321-263-3000
438641;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438642;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438643;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438644;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438645;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438646;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438653;UNITED STATES OF AMERICA;Visa DEBIT;FLORIDA CHOICE BANK;513-579-5638
438654;UNITED STATES OF AMERICA;Visa CREDIT;FIRST UNION DIRECT BANK, N.A.;
438655;UNITED STATES OF AMERICA;Visa CREDIT;FIRST UNION DIRECT BANK, N.A.;
438656;UNITED STATES OF AMERICA;Visa CREDIT;FIRST UNION DIRECT BANK, N.A.;
438657;UNITED STATES OF AMERICA;Visa CREDIT;FIRST UNION DIRECT BANK, N.A.;
438659;BRUNEI DARUSSALAM;Visa;BAIDURI BANK BHD;673-2-454191
438660;UNITED STATES OF AMERICA;Visa CREDIT;PROVIDIAN NATIONAL BANK;
438661;UNITED STATES OF AMERICA;Visa CREDIT;PROVIDIAN NATIONAL BANK;
438662;UNITED STATES OF AMERICA;Visa CREDIT;PROVIDIAN NATIONAL BANK;
438663;UNITED STATES OF AMERICA;Visa CREDIT;PROVIDIAN NATIONAL BANK;
438664;UNITED STATES OF AMERICA;Visa;FIRST NATIONAL BANK OF OMAHA;
438667;TAIWAN;Visa CREDIT;THE SECOND CREDIT COOPERATIVE OF KEELUNG;
438668;TAIWAN;Visa CREDIT;THE SECOND CREDIT COOPERATIVE OF KEELUNG;
438670;UNITED STATES OF AMERICA;Visa DEBIT;WOODSTONE C.U.;800-245-7728
438671;UNITED STATES OF AMERICA;Visa DEBIT;MISSION BANK;800-456-4307
438672;BRAZIL;Visa CREDIT;UNIBANCO - UNIAO DE BANCOS BRASILEIROS S.A.;55-11-46895083
438674;SOUTH KOREA;Visa DEBIT;WOORI CREDIT CARD CO., LTD.;82-2-22222111
438675;MALAYSIA;Visa CREDIT;HSBC BANK MALAYSIA BERHAD;60-3-20742781
438676;SOUTH KOREA;Visa CREDIT;LG CARD CO., LTD.;82-2-62526203
438678;SPAIN;Visa DEBIT;BANCO DE LA PEQUENA Y MEDIANA EMPRESA (BANKPYME);34-93-3163333
438679;THAILAND;Visa CREDIT;CITIBANK, N.A.;
438682;HONG KONG, CHINA;Visa DEBIT;DAH SING BANK, LIMITED;
438686;TAIWAN;Visa;FUBON COMMERCIAL BANK;
438688;UNITED STATES OF AMERICA;Visa DEBIT;MERIWEST C.U.;800-234-5354
438691;UNITED STATES OF AMERICA;Visa DEBIT;PLANTERS AND MERCHANTS STATE BANK;800-658-6644
438692;UNITED STATES OF AMERICA;Visa DEBIT;MOKELUMNE F.C.U.;209-334-3200
438694;UNITED STATES OF AMERICA;Visa CREDIT;GOLDEN BAY F.C.U.;800-215-6280
438695;UNITED STATES OF AMERICA;Visa CREDIT;SOUTHERN OREGON F.C.U.;800-881-7488
438696;SPAIN;Visa DEBIT;CAJA ESPANA DE INVERSIONES;34-87-292535
438697;UNITED STATES OF AMERICA;Visa DEBIT;MOODY NATIONAL BANK;877-715-2299
438698;UNITED STATES OF AMERICA;Visa DEBIT;THE NATIONAL IRON BANK;877-715-2299
438700;UNITED STATES OF AMERICA;Visa DEBIT;TEXAS PREMIER BANK, N.A.;877-715-2299
438701;UNITED STATES OF AMERICA;Visa DEBIT;SAVINGS BANK OF DANBURY;608-240-7769
438703;UNITED STATES OF AMERICA;Visa DEBIT;EAGLE BANK AND TRUST CO. OF JEFFERSON COUNTY;636-797-4040
438705;UNITED STATES OF AMERICA;Visa CREDIT;FAA TECHNICAL CENTER F.C.U.;800-215-6280
438706;UNITED STATES OF AMERICA;Visa DEBIT;COMERICA BANK;
438707;UNITED STATES OF AMERICA;Visa DEBIT;FIRST NATIONAL BANK OF HUNTSVILLE;877-715-2299
438708;UNITED STATES OF AMERICA;Visa CREDIT;NATIONAL CITY BANK;
438710;UNITED STATES OF AMERICA;Visa CREDIT;NATIONAL CITY BANK;
438711;UNITED STATES OF AMERICA;Visa DEBIT;NATIONAL CITY BANK OF INDIANA;
438712;UNITED STATES OF AMERICA;Visa CREDIT;BRIDGETON ONIZED F.C.U.;800-657-6366
438713;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438715;UNITED STATES OF AMERICA;Visa DEBIT;RHINEBECK SAVINGS BANK;608-240-7769
438716;UNITED STATES OF AMERICA;Visa DEBIT;ALLIANCE BANK;
438717;UNITED STATES OF AMERICA;Visa CREDIT;POINT LOMA C.U.;888-495-3400
438718;UNITED STATES OF AMERICA;Visa CREDIT;TAFT CARBIDE F.C.U.;504-783-2130
438719;UNITED STATES OF AMERICA;Visa DEBIT;PALISADES FEDERAL CREDIT UNION;
438721;UNITED STATES OF AMERICA;Visa CREDIT;MISSION F.C.U.;
438722;UNITED STATES OF AMERICA;Visa DEBIT;COMERICA BANK;
438723;UNITED STATES OF AMERICA;Visa DEBIT;COMERICA BANK;
438724;UNITED STATES OF AMERICA;Visa DEBIT;COMERICA BANK;
438725;SPAIN;Visa DEBIT;CAIXA D'ESTALVIS DE MANLLEU;34-93-8832660
438727;UNITED STATES OF AMERICA;Visa DEBIT;COMERICA BANK;
438728;UNITED STATES OF AMERICA;Visa CREDIT;TINKER F.C.U.;800-245-7728
438729;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438730;UNITED STATES OF AMERICA;Visa CREDIT;FARM BUREAU BANK F.S.B;
438731;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438732;UNITED STATES OF AMERICA;Visa CREDIT;FARM BUREAU BANK F.S.B;
438734;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLE'S ALLIANCE F.C.U.;800-657-6366
438735;UNITED STATES OF AMERICA;Visa;IOWA LEAGUE CORPORATE CENTRAL C.U.;800-234-5354
438736;UNITED STATES OF AMERICA;Visa;IOWA LEAGUE CORPORATE CENTRAL C.U.;800-234-5354
438738;UNITED STATES OF AMERICA;Visa;C.U. CARD SERVICES, INC;
438741;UNITED STATES OF AMERICA;Visa CREDIT;SHELL NEW ORLEANS F.C.U.;504-728-4929
438742;UNITED STATES OF AMERICA;Visa;C.U. CARD SERVICES, INC;
438743;UNITED STATES OF AMERICA;Visa CREDIT;CITIBANK (SOUTH DAKOTA), N.A.;
438745;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438748;UNITED STATES OF AMERICA;Visa CREDIT;SAN DIEGO METROPOLITAN C.U.;619-297-4835
438749;UNITED STATES OF AMERICA;Visa DEBIT;NATIONAL BANK AND TRUST;800-456-4307
438750;UNITED STATES OF AMERICA;Visa CREDIT;LA DOTD F.C.U.;800-436-8328
438751;UNITED STATES OF AMERICA;Visa CREDIT;RESEARCH F.C.U.;303-389-7860
438752;UNITED STATES OF AMERICA;Visa DEBIT;EXTRACO BANKS, N.A.;
438753;UNITED STATES OF AMERICA;Visa CREDIT;CENTRIS F.C.U.;800-238-2827
438754;UNITED STATES OF AMERICA;Visa CREDIT;HEW F.C.U.;800-424-1990
438755;UNITED STATES OF AMERICA;Visa CREDIT;SAN DIEGO COUNTY C.U.;800-400-7521
438759;UNITED STATES OF AMERICA;Visa CREDIT;HIGHMARK F.C.U.;800-215-6280
438761;UNITED STATES OF AMERICA;Visa CREDIT;SALT RIVER PROJECT C.U.;727-571-4616
438763;UNITED STATES OF AMERICA;Visa CREDIT;STANFORD FEDERAL CREDIT UNION;888-723-7328
438765;UNITED STATES OF AMERICA;Visa DEBIT;BANKNORTH, N.A.;
438766;UNITED STATES OF AMERICA;Visa DEBIT;TD BANKNORTH, NATIONAL ASSOCIATION;
438767;UNITED STATES OF AMERICA;Visa CREDIT;PENINSULA POSTAL C.U., LTD.;800-696-6009
438768;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLES C.U.;877-866-7827
438770;UNITED STATES OF AMERICA;Visa CREDIT;C.U. ONE;800-238-2827
438771;UNITED STATES OF AMERICA;Visa CREDIT;K OF C F.C.U.;800-215-6280
438772;UNITED STATES OF AMERICA;Visa CREDIT;LOCKHEED F.C.U.;800-328-5328
438775;UNITED STATES OF AMERICA;Visa;THE NORTHERN TRUST COMPANY;608-240-7769
438776;UNITED STATES OF AMERICA;Visa DEBIT;BUFFALO SERVICE C.U.;513-579-5638
438777;UNITED STATES OF AMERICA;Visa CREDIT;FIRST FUTURE C.U.;800-881-7488
438779;UNITED STATES OF AMERICA;Visa DEBIT;CREDIT UNION CENTRAL FALLS;
438782;UNITED STATES OF AMERICA;Visa DEBIT;PUTNAM SAVINGS BANK;800-424-1990
438783;UNITED STATES OF AMERICA;Visa CREDIT;MERRILL LYNCH BANK AND TRUST COMPANY;800-637-7455
438784;UNITED STATES OF AMERICA;Visa DEBIT;MERRICK BANK CORPORATION;800-253-2322
438785;UNITED STATES OF AMERICA;Visa CREDIT;POINT LOMA C.U.;888-495-3400
438786;UNITED STATES OF AMERICA;Visa DEBIT;THE NEKOMA STATE BANK;620-694-6868
438787;UNITED STATES OF AMERICA;Visa DEBIT;NASSAU EDUCATORS F.C.U.;800-245-7728
438789;UNITED STATES OF AMERICA;Visa CREDIT;BB&T BANKCARD CORPORATION;800-476-4228
438790;UNITED STATES OF AMERICA;Visa CREDIT;FIRST NATIONAL BANK OF OMAHA;
438791;UNITED STATES OF AMERICA;Visa CREDIT;FAA FIRST F.C.U.;800-782-9042
438792;UNITED STATES OF AMERICA;Visa;CARD SERVICES FOR C.U.S, INC;
438793;UNITED STATES OF AMERICA;Visa CREDIT;USA F.C.U.;800-215-6280
438794;UNITED STATES OF AMERICA;Visa CREDIT;FIRST USA BANK, N.A.;
438796;UNITED STATES OF AMERICA;Visa CREDIT;THE FIRST NATIONAL BANK OF LONG ISLAND;
438798;UNITED STATES OF AMERICA;Visa CREDIT;CHASE MANHATTAN BANK USA, N.A.;
438801;UNITED STATES OF AMERICA;Visa DEBIT;SUNTRUST BANKCARD, N.A.;
438802;CANADA;Visa CREDIT;BANK OF AMERICA CANADA;602-597-3925
438803;UNITED STATES OF AMERICA;Visa CREDIT;U.S. BANK N.A. ND;
438804;UNITED STATES OF AMERICA;Visa CREDIT;BANKERS TRUST COMPANY;
438807;UNITED STATES OF AMERICA;Visa CREDIT;NATIONAL BANK OF COMMERCE;919-382-7929
438809;UNITED STATES OF AMERICA;Visa CREDIT;ICBA BANCARD;
438812;UNITED STATES OF AMERICA;Visa;ELECTRONIC PAYMENT SERVICES, INC;
438813;UNITED STATES OF AMERICA;Visa CREDIT;C.U. OF THE PACIFIC;800-245-7728
438815;UNITED STATES OF AMERICA;Visa CREDIT;STILLWATER NATIONAL BANK AND TRUST COMPANY;800-215-6280
438816;UNITED STATES OF AMERICA;Visa CREDIT;MID STATE BANK;800-215-6280
438817;UNITED STATES OF AMERICA;Visa CREDIT;FIRST USA BANK, N.A.;
438818;UNITED STATES OF AMERICA;Visa CREDIT;USA F.C.U.;800-215-6280
438821;UNITED STATES OF AMERICA;Visa CREDIT;NATIONAL BANK OF COMMERCE;919-382-7929
438826;UNITED STATES OF AMERICA;Visa CREDIT;HOUSEHOLD BANK (NEVADA), N.A.;
438827;UNITED STATES OF AMERICA;Visa CREDIT;NATIONAL CITY BANK;
438828;UNITED STATES OF AMERICA;Visa DEBIT;UMB BANK, N.A.;
438830;UNITED STATES OF AMERICA;Visa CREDIT;WELLS FARGO BANK NEVADA, N.A.;
438831;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLE'S BANK;800-426-1114
438832;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLE'S BANK;800-426-1114
438833;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLE'S BANK;800-426-1114
438834;UNITED STATES OF AMERICA;Visa CREDIT;PEOPLE'S BANK;800-426-1114
438835;UNITED STATES OF AMERICA;Visa CREDIT;CENTRAL BANK AND TRUST COMPANY;608-240-7769
438838;UNITED STATES OF AMERICA;Visa CREDIT;WESCOM C.U.;888-493-7266
438840;UNITED STATES OF AMERICA;Visa CREDIT;ICBA BANCARD;
438843;UNITED STATES OF AMERICA;Visa CREDIT;CITIBANK (SOUTH DAKOTA), N.A.;
438844;UNITED STATES OF AMERICA;Visa;UNION PLANTERS BANK, N.A.;
438845;UNITED STATES OF AMERICA;Visa CREDIT;HOUSEHOLD BANK (NEVADA), N.A.;
438848;UNITED STATES OF AMERICA;Visa CREDIT;C.U. CARD SERVICES, INC;
438849;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438850;UNITED STATES OF AMERICA;Visa CREDIT;BANKERS TRUST COMPANY;
438852;UNITED STATES OF AMERICA;Visa CREDIT;CHASE BANK USA, NATIONAL ASSOCIATION;
438853;UNITED STATES OF AMERICA;Visa CREDIT;MISSION F.C.U.;
438854;UNITED STATES OF AMERICA;Visa CREDIT;CHASE BANK USA, NATIONAL ASSOCIATION;
438855;UNITED STATES OF AMERICA;Visa CREDIT;FLEET NATIONAL BANK;
438856;UNITED STATES OF AMERICA;Visa CREDIT;HOUSEHOLD BANK (NEVADA), N.A.;
438857;UNITED STATES OF AMERICA;Visa CREDIT;CHASE BANK USA, NATIONAL ASSOCIATION;
438858;UNITED STATES OF AMERICA;Visa CREDIT;PRICE CHOPPER EMPLOYEES F.C.U.;800-342-9835
438859;UNITED STATES OF AMERICA;Visa CREDIT;PRICE CHOPPER EMPLOYEES F.C.U.;800-342-9835
438862;UNITED STATES OF AMERICA;Visa CREDIT;WELLS FARGO BANK NEVADA, N.A.;
438864;UNITED STATES OF AMERICA;Visa CREDIT;CAPITAL ONE BANK;
438865;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438866;UNITED STATES OF AMERICA;Visa CREDIT;ICBA BANCARD;
438867;UNITED STATES OF AMERICA;Visa CREDIT;THE FRIENDSHIP STATE BANK;800-215-6280
438868;UNITED STATES OF AMERICA;Visa DEBIT;SHELL EMPLOYEES (HOUSTON, TEXAS) F.C.U.;800-321-2411
438869;UNITED STATES OF AMERICA;Visa DEBIT;OCEANSIDE CHRISTOPHER F.C.U.;800-657-6366
438870;UNITED STATES OF AMERICA;Visa DEBIT;THE SAVINGS BANK OF MANCHESTER;800-657-6366
438871;UNITED STATES OF AMERICA;Visa DEBIT;WESTERN DIVISION C.U.;513-579-5638
438872;UNITED STATES OF AMERICA;Visa CREDIT;TOMPKINS TRUST COMPANY;607-273-0444
438873;UNITED STATES OF AMERICA;Visa CREDIT;STATE EMPLOYEES C.U. OF MARYLAND, INC;727-571-4616
438876;UNITED STATES OF AMERICA;Visa CREDIT;66 F.C.U.;
438877;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438878;UNITED STATES OF AMERICA;Visa CREDIT;FRANKLIN TEMPLETON BANK AND TRUST, F.S.B.;918-641-4831
438879;UNITED STATES OF AMERICA;Visa CREDIT;ZIONS FIRST NATIONAL BANK;
438880;UNITED STATES OF AMERICA;Visa CREDIT;FLEET BANK (RI), N.A.;
438882;UNITED STATES OF AMERICA;Visa CREDIT;UNION TRUST COMPANY;207-667-2504
438884;UNITED STATES OF AMERICA;Visa CREDIT;WELLS FARGO FINANCIAL BANK;605-336-3933
438887;UNITED STATES OF AMERICA;Visa CREDIT;THE HUNTINGTON NATIONAL BANK;
438891;UNITED STATES OF AMERICA;Visa CREDIT;BANKERS TRUST COMPANY;
438892;UNITED STATES OF AMERICA;Visa CREDIT;MBNA AMERICA BANK, N.A.;
438893;UNITED STATES OF AMERICA;Visa;HSBC BANK USA;716-841-4637
438894;UNITED STATES OF AMERICA;Visa;HSBC BANK USA;716-841-4637
438897;UNITED STATES OF AMERICA;Visa CREDIT;TCM BANK, N.A.;800-215-6280
438898;UNITED STATES OF AMERICA;Visa CREDIT;TIB THE INDEPENDENT BANKERSBANK;
438900;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438901;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438902;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438903;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438904;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438905;BRAZIL;Visa CREDIT;CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO;
438907;UNITED STATES OF AMERICA;Visa;FIRST DATA RESOURCES, INC;
438909;BRAZIL;Visa CREDIT;BANCO BANDEIRANTES S.A.;55-11-30677597
438910;LEBANON;Visa DEBIT;CREDIT LIBANAIS S.A.L.;
438911;SAUDI ARABIA;Visa PREPAID;SAUDI HOLLANDI BANK;800-124-3003
438912;KUWAIT;Visa PREPAID;THE GULF BANK K.S.C.;305-328-1000
438913;UNITED STATES OF AMERICA;Visa DEBIT;BRUNING STATE BANK;412-552-2549
438914;ZIMBABWE;Visa;BARCLAYS BANK OF ZIMBABWE LIMITED;
438915;UNITED STATES OF AMERICA;Visa DEBIT;CITY NATIONAL BANK OF SULPHUR SPRINGS;877-715-2299
438916;SLOVAKIA;Visa;VSEOBECNA UVEROVA BANKA, A.S.;421-2-50552378
438917;UNITED STATES OF AMERICA;Visa DEBIT;NORTHRIM BANK;800-215-6280
438919;UNITED STATES OF AMERICA;Visa DEBIT;ADVANCIAL F.C.U.;
438922;SOUTH KOREA;Visa DEBIT;THE KWANGJU BANK, LTD.;
438925;UNITED STATES OF AMERICA;Visa DEBIT;GOLDEN PLAINS C.U.;316-275-2151
438927;UKRAINE;Visa;STATE SAVINGS BANK OF UKRAINE (OSCHADBANK);380-44-2478418
438929;UNITED ARAB EMIRATES;Visa;ABU DHABI COMMERCIAL BANK;971-2-6444552
438930;MOLDOVA;Visa DEBIT;VICTORIABANK;
438931;RUSSIAN FEDERATION;Visa DEBIT;CHELINDBANK;7-3512-651803
438932;RUSSIAN FEDERATION;Visa DEBIT;CHELINDBANK;7-3512-651803
438933;RUSSIAN FEDERATION;Visa CREDIT;JOINT STOCK COMMERCIAL BANK ROSBANK;
438934;LATVIA;Visa;UNIBANK OF LATVIA;371-7092521
438936;LATVIA;Visa DEBIT;JSC HANSABANKA;371-7092528
438937;LATVIA;Visa CREDIT;JSC HANSABANKA;371-7092528
438938;LATVIA;Visa DEBIT;JSC HANSABANKA;371-7092528
438939;LATVIA;Visa;JSC HANSABANKA;371-7092528
438940;UNITED STATES OF AMERICA;Visa CREDIT;INFIBANK;800-215-6280
438941;UNITED STATES OF AMERICA;Visa CREDIT;INFIBANK;800-215-6280
438942;UNITED STATES OF AMERICA;Visa CREDIT;U.S. BANK N.A. ND;
438943;UNITED STATES OF AMERICA;Visa CREDIT;U.S. BANK N.A. ND;
438944;UNITED STATES OF AMERICA;Visa CREDIT;U.S. BANK N.A. ND;
438945;UNITED STATES OF AMERICA;Visa CREDIT;WELLS FARGO BANK NEVADA, N.A.;
438946;UNITED STATES OF AMERICA;Visa DEBIT;CERESCOBANK;412-552-2549
438947;UNITED STATES OF AMERICA;Visa DEBIT;THE COMMERCIAL NATIONAL BANK OF AINSWORTH;412-552-2549
438948;UNITED STATES OF AMERICA;Visa DEBIT;FIRST NICHOLS NATIONAL BANK;800-456-4307
438949;UNITED STATES OF AMERICA;Visa CREDIT;COMMERCE BANK, N.A.;800-645-2103
438950;UNITED STATES OF AMERICA;Visa DEBIT;TCF NATIONAL BANK;612-661-8175
438951;UNITED STATES OF AMERICA;Visa DEBIT;TCF NATIONAL BANK;612-661-8175
438952;UNITED STATES OF AMERICA;Visa DEBIT;TCF NATIONAL BANK;612-661-8175
438953;UNITED STATES OF AMERICA;Visa DEBIT;TCF NATIONAL BANK;612-661-8175
438954;UNITED STATES OF AMERICA;Visa DEBIT;TCF NATIONAL BANK;612-661-8175
438955;ROMANIA;Visa DEBIT;RAIFFEISEN BANK S.A.;40-21-3239542
438956;POLAND;Visa DEBIT;ABN AMRO BANK (POLSKA) S.A.;48-22-6113042
438957;POLAND;Visa CREDIT;ABN AMRO BANK (POLSKA) S.A.;48-22-6113042
438958;UNITED ARAB EMIRATES;Visa CREDIT;THE COMMERCIAL BANK OF DUBAI LIMITED;971-4-2970211
438959;UNITED ARAB EMIRATES;Visa CREDIT;THE COMMERCIAL BANK OF DUBAI LIMITED;971-4-2970211
438960;UNITED STATES OF AMERICA;Visa CREDIT;IOWA LEAGUE CORPORATE CENTRAL C.U.;800-234-5354
438964;UNITED STATES OF AMERICA;Visa DEBIT;FIRST NATIONAL BANK IN GRAHAM;513-579-5638
438965;KENYA;Visa;BARCLAYS BANK OF KENYA LTD.;
438969;CROATIA;Visa;RIADRIA BANKA D.D.;385-21-342577
438972;UNITED STATES OF AMERICA;Visa DEBIT;THE CITIZENS NATIONAL BANK IN WAXAHACHIE;800-456-4307
438973;UNITED STATES OF AMERICA;Visa DEBIT;WESTERN STATE BANK;620-694-6868
438974;UNITED STATES OF AMERICA;Visa CREDIT;MERCHANTS BANK, N.A.;
438975;UNITED STATES OF AMERICA;Visa DEBIT;UMB BANK, N.A.;
438976;UNITED STATES OF AMERICA;Visa;WELLS FARGO BANK IOWA, N.A.;
438977;POLAND;Visa CREDIT;BANK GOSPODARKI ZYWNOSCIOWEJ S.A.;48-22-6113010
438978;POLAND;Visa;BANK GOSPODARKI ZYWNOSCIOWEJ S.A.;48-22-6113010
438979;HUNGARY;Visa;HVB BANK HUNGARY RT.;36-1-3015631
438980;UNITED ARAB EMIRATES;Visa CREDIT;UNION NATIONAL BANK;971-2-6712060
438981;UNITED ARAB EMIRATES;Visa CREDIT;UNION NATIONAL BANK;971-2-6712060
438982;UNITED ARAB EMIRATES;Visa DEBIT;UNION NATIONAL BANK;971-2-6712060
438985;BOTSWANA;Visa DEBIT;STANDARD CHARTERED BANK;
438986;BOTSWANA;Visa;STANDARD CHARTERED BANK;
438987;SOUTH AFRICA;Visa CREDIT;NEDCOR BANK LIMITED;
438988;UNITED STATES OF AMERICA;Visa CREDIT;ALLIANCE C.U.;800-215-6280
438989;UNITED STATES OF AMERICA;Visa DEBIT;SECURITY STATE BANK;800-456-4307
438990;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438991;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438992;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438993;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438994;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438995;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438996;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438997;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438998;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
438999;BAHRAIN;Visa CREDIT;ARAB FINANCIAL SERVICES COMPANY;
439013;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439014;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439016;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439017;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439019;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439020;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439021;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
439022;BRAZIL;Visa CREDIT;BANCO MERCANTIL DO BRASIL S.A.;55-11-37418632
